name,course,difficulty,baseName,baseAmount,liqueurName,liqueurAmount,mixerName,mixerAmount,subName,subAmount,glass,technique,choices_baseName,choices_baseAmount,choices_liqueurName,choices_liqueurAmount,choices_mixerName,choices_mixerAmount,choices_subName,choices_subAmount,choices_glass
ジントニック,spirits,,ジン,45ml,,,トニックウォーター,UP,ライムカット,,コリンズグラス/ゾンビグラス,ビルド,ジン,30ml|45ml,,,トニックウォーター|ソーダ|ジンジャーエール,,なし|ライムカット|レモンカット,,
ホワイトレディ,spirits,,ジン,30ml,コアントロー,15ml,レモンジュース,15ml,なし,,カクテルグラス,シェイク,ジン|ウォッカ|ラム|テキーラ,30ml|45ml,コアントロー|アマレット|ピーチリキュール,,ジンジャーエール|レモンジュース|ライムジュース|トニックウォーター,,なし|ドライベルモット|オリーブ,,
マティーニ,spirits,,ジン,45ml,,,ドライベルモット,15ml,オリーブ,,カクテルグラス,ステア,ジン|ウォッカ|ラム|テキーラ,30ml|45ml|60ml,,,オレンジジュース|ドライベルモット|ソーダ,,なし|レモンカット|ライムカット|オリーブ,,
ソルティドッグ,spirits,,ウォッカ,45ml,,,グレープフルーツジュース,UP,スノースタイル,,専用グラス,ビルド,ジン|ウォッカ|ラム,30ml|45ml,,,オレンジジュース|グレープフルーツジュース|トニックウォーター,,なし|レモンカット|ライムカット|スノースタイル,,
ギムレット,spirits,,ジン,45ml,,,ライムジュース,15ml,なし,,カクテルグラス,シェイク,ジン|ウォッカ|ラム|テキーラ,30ml|45ml,,,ライムジュース|グレープフルーツジュース|トニックウォーター,,なし|レモンカット|ライムカット|スノースタイル,,
ジンライム,spirits,,ジン,45ml,,,ライムジュース,15ml,ライムカット,,ロックグラス,ビルド,ジン,30ml|45ml,,,ライムジュース|トニックウォーター,,なし|レモンカット|ライムカット|スノースタイル,,
モスコミュール,spirits,,ウォッカ,45ml,,,ジンジャーエール,UP,ライムカット,,コリンズグラス/ゾンビグラス,ビルド,ジン|ウォッカ|ラム|テキーラ,30ml|45ml,,,ライムジュース|グレープフルーツジュース|トニックウォーター|ジンジャーエール,,なし|レモンカット|ライムカット|スノースタイル,,
スクリュードライバー,spirits,,ウォッカ,45ml,,,オレンジジュース,UP,なし,,コリンズグラス/ゾンビグラス,ビルド,ジン|ウォッカ|ラム|テキーラ,30ml|45ml,,,オレンジジュース|グレープフルーツジュース|トニックウォーター,,なし|ライムカット|レモンカット,,
バラライカ,spirits,,ウォッカ,30ml,コアントロー,15ml,レモンジュース,15ml,なし,,カクテルグラス,シェイク,ジン|ウォッカ|ラム|テキーラ,30ml|45ml,コアントロー|アマレット|ドライベルモット,,レモンジュース|ライムジュース|グレープフルーツジュース,,なし|レモンカット|ライムカット,,
カミカゼ,spirits,,ウォッカ,45ml,コアントロー,1tsp,ライムジュース,15ml,なし,,ロックグラス,シェイク,ジン|ウォッカ|ラム|テキーラ,30ml|45ml,コアントロー|ドライベルモット|アマレット|なし,,ライムジュース|レモンジュース|トニックウォーター,,なし|ライムカット,,
バカルディ,spirits,,ラム,45ml,,,ライムジュース,15ml,グレナデンシロップ,1tsp,カクテルグラス,シェイク,ジン|ウォッカ|ラム|テキーラ,30ml|45ml,,,ライムジュース|レモンジュース|オレンジジュース,,なし|グレナデンシロップ|ライムカット,1tsp|10ml|15ml,
